#Note: This mapping table is made by me. For the original version, see Code Page 1024.
#There may be more accented characters available, like K and V with dot below.

0xB3 0xC5	0x0112	#LATIN CAPITAL LETTER E WITH MACRON
0xB3 0xC9	0x012A	#LATIN CAPITAL LETTER I WITH MACRON
0xB3 0xD6	0x014C	#LATIN CAPITAL LETTER O WITH MACRON
0xB3 0xE4	0x016A	#LATIN CAPITAL LETTER U WITH MACRON
0xB4	0x02DB	#OGONEK
0xB4 0x81	0x0105	#LATIN SMALL LETTER A WITH OGONEK
0xB4 0x85	0x0119	#LATIN SMALL LETTER E WITH OGONEK
0xB4 0x89	0x012F	#LATIN SMALL LETTER I WITH OGONEK
0xB4 0xA4	0x0173	#LATIN SMALL LETTER U WITH OGONEK
0xB4 0xC1	0x0104	#LATIN CAPITAL LETTER A WITH OGONEK
0xB4 0xC5	0x0118	#LATIN CAPITAL LETTER E WITH OGONEK
0xB4 0xC9	0x012E	#LATIN CAPITAL LETTER I WITH OGONEK
0xB4 0xE4	0x0172	#LATIN CAPITAL LETTER U WITH OGONEK
0xB5	0x00A7	#SECTION SIGN
0xB6	0x00B6	#PILCROW SIGN
0xB7	0x00BC	#VULGAR FRACTION ONE QUARTER
0xB8	0x00BD	#VULGAR FRACTION ONE HALF
0xB9	0x00BE	#VULGAR FRACTION THREE QUARTERS
0xBA	0x0323	#COMBINING DOT BELOW
0xBA 0x84	0x1E0D	#LATIN SMALL LETTER D WITH DOT BELOW
0xBA 0x88	0x1E25	#LATIN SMALL LETTER H WITH DOT BELOW
0xBA 0xA2	0x1E63	#LATIN SMALL LETTER S WITH DOT BELOW
0xBA 0xA3	0x1E6D	#LATIN SMALL LETTER T WITH DOT BELOW
0xBA 0xA9	0x1E93	#LATIN SMALL LETTER Z WITH DOT BELOW
0xBA 0xC4	0x1E0C	#LATIN CAPITAL LETTER D WITH DOT BELOW
0xBA 0xC8	0x1E24	#LATIN CAPITAL LETTER H WITH DOT BELOW
0xBA 0xE2	0x1E62	#LATIN CAPITAL LETTER S WITH DOT BELOW
0xBA 0xE3	0x1E6C	#LATIN CAPITAL LETTER T WITH DOT BELOW
0xBA 0xE9	0x1E92	#LATIN CAPITAL LETTER Z WITH DOT BELOW
0xBB	0x007C	#VERTICAL LINE
0xBC	0x00AF	#MACRON
0xBC 0x87	0x1E21	#LATIN SMALL LETTER G WITH MACRON
0xBC 0xC7	0x1E20	#LATIN CAPITAL LETTER G WITH MACRON
0xBD	0x00A8	#DIAERESIS
0xBD 0x81	0x00E4	#LATIN SMALL LETTER A WITH DIAERESIS
0xBD 0x85	0x00EB	#LATIN SMALL LETTER E WITH DIAERESIS
0xBD 0x89	0x00EF	#LATIN SMALL LETTER I WITH DIAERESIS
0xBD 0x96	0x00F6	#LATIN SMALL LETTER O WITH DIAERESIS
0xBD 0xA4	0x00FC	#LATIN SMALL LETTER U WITH DIAERESIS
0xBD 0xA8	0x00FF	#LATIN SMALL LETTER Y WITH DIAERESIS
0xBD 0xC1	0x00C4	#LATIN CAPITAL LETTER A WITH DIAERESIS
0xBD 0xC5	0x00CB	#LATIN CAPITAL LETTER E WITH DIAERESIS
0xBD 0xC9	0x00CF	#LATIN CAPITAL LETTER I WITH DIAERESIS
0xBD 0xD6	0x00D6	#LATIN CAPITAL LETTER O WITH DIAERESIS
0xBD 0xE4	0x00DC	#LATIN CAPITAL LETTER U WITH DIAERESIS
0xBD 0xE8	0x0178	#LATIN CAPITAL LETTER Y WITH DIAERESIS
0xBE	0x00B4	#ACUTE ACCENT
0xBE 0x81	0x00E1	#LATIN SMALL LETTER A WITH ACUTE
0xBE 0x83	0x0107	#LATIN SMALL LETTER C WITH ACUTE
0xBE 0x85	0x00E9	#LATIN SMALL LETTER E WITH ACUTE
0xBE 0x87	0x0123	#LATIN SMALL LETTER G WITH CEDILLA
0xBE 0x89	0x00ED	#LATIN SMALL LETTER I WITH ACUTE
0xBE 0x93	0x013A	#LATIN SMALL LETTER L WITH ACUTE
0xBE 0x95	0x0144	#LATIN SMALL LETTER N WITH ACUTE
